FECHA,Tipo de Cambio,Superior,Regular,Diesel,Bunker,GLP CILINDRO,GLP LIBRAS
10-may-21,7.71048,27.89,27.09,21.79,16.84,120.0,4.8
11-may-21,7.70861,27.89,27.09,21.79,16.84,120.0,4.8
12-may-21,7.71034,27.89,27.09,21.79,16.84,120.0,4.8
13-may-21,7.70898,27.89,27.09,21.79,16.84,120.0,4.8
14-may-21,7.7102,27.89,27.09,21.79,16.84,120.0,4.8
15-may-21,7.7102,27.89,27.09,21.79,16.84,120.0,4.8
16-may-21,7.7102,27.89,27.09,21.79,16.84,120.0,4.8
17-may-21,7.70923,27.9,27.09,21.79,16.99,120.0,4.8
18-may-21,7.7092,27.9,27.09,21.79,16.99,120.0,4.8
19-may-21,7.71246,27.9,27.09,21.79,16.99,120.0,4.8
20-may-21,7.71203,27.9,27.09,21.79,16.99,120.0,4.8
21-may-21,7.71822,27.9,27.09,21.79,16.99,120.0,4.8
22-may-21,7.71822,27.9,27.09,21.79,16.99,120.0,4.8
23-may-21,7.71822,27.9,27.09,21.79,16.99,120.0,4.8
24-may-21,7.71544,27.88,27.08,21.78,16.62,120.0,4.8
25-may-21,7.71791,27.88,27.08,21.78,16.62,120.0,4.8
26-may-21,7.71942,27.88,27.08,21.78,16.62,120.0,4.8
27-may-21,7.7219,27.88,27.08,21.78,16.62,120.0,4.8
28-may-21,7.72459,27.88,27.08,21.78,16.62,120.0,4.8
29-may-21,7.72459,27.88,27.08,21.78,16.62,120.0,4.8
30-may-21,7.72459,27.88,27.08,21.78,16.62,120.0,4.8
31-may-21,7.72117,28.01,27.22,22.29,16.45,120.0,4.8
1-jun-21,7.72935,28.01,27.22,22.29,16.45,120.0,4.8
2-jun-21,7.72179,28.01,27.22,22.29,16.45,120.0,4.8
3-jun-21,7.72533,28.01,27.22,22.29,16.45,120.0,4.8
4-jun-21,7.72994,28.01,27.22,22.29,16.45,120.0,4.8
5-jun-21,7.72994,28.01,27.22,22.29,16.45,120.0,4.8
6-jun-21,7.72994,28.01,27.22,22.29,16.45,120.0,4.8
7-jun-21,7.72393,27.99,27.2,22.58,16.78,120.0,4.8
8-jun-21,7.72481,27.99,27.2,22.58,16.78,120.0,4.8
9-jun-21,7.73186,27.99,27.2,22.58,16.78,120.0,4.8
10-jun-21,7.73802,27.99,27.2,22.58,16.78,120.0,4.8
11-jun-21,7.74072,27.99,27.2,22.58,16.78,120.0,4.8
12-jun-21,7.74072,27.99,27.2,22.58,16.78,120.0,4.8
